id,semantic,tags,category,description
KensIcons-folder-download,kensicons-folder-download,"kensicons,download,folder",files,Kensicons Folder Download icon
KensIcons-folder-drag-accept,kensicons-folder-drag-accept,"kensicons,accept,drag,folder",files,Kensicons Folder Drag Accept icon
KensIcons-folder-music,kensicons-folder-music,"music,kensicons,folder",files,Kensicons Folder Music icon
KensIcons-folder-new,kensicons-folder-new,"new,kensicons,folder",files,Kensicons Folder New icon
KensIcons-folder-open,kensicons-folder-open,"kensicons,open,folder",ui,Kensicons Folder Open icon
KensIcons-folder-pictures,kensicons-folder-pictures,"kensicons,pictures,folder",files,Kensicons Folder Pictures icon
KensIcons-folder,kensicons-folder,"kensicons,folder",files,Kensicons Folder icon
KensIcons-folder-publicshare,kensicons-folder-publicshare,"kensicons,publicshare,folder",files,Kensicons Folder Publicshare icon
KensIcons-folder-remote,kensicons-folder-remote,"kensicons,remote,folder",files,Kensicons Folder Remote icon
KensIcons-folder-saved-search,kensicons-folder-saved-search,"kensicons,search,saved,folder",files,Kensicons Folder Saved Search icon
KensIcons-folder-templates,kensicons-folder-templates,"kensicons,templates,folder",files,Kensicons Folder Templates icon
KensIcons-folder-videos,kensicons-folder-videos,"kensicons,videos,folder",files,Kensicons Folder Videos icon
KensIcons-folder-visiting,kensicons-folder-visiting,"kensicons,visiting,folder",files,Kensicons Folder Visiting icon
KensIcons-font-x-generic,kensicons-font-x-generic,"x,kensicons,generic,font",ui,Kensicons Font X Generic icon
KensIcons-gnome-mime-application-pdf,kensicons-gnome-mime-application-pdf,"gnome,pdf,application,kensicons,mime",files,Kensicons Gnome Mime Application Pdf icon
KensIcons-gnome-mime-application-postscript,kensicons-gnome-mime-application-postscript,"gnome,postscript,application,kensicons,mime",ui,Kensicons Gnome Mime Application Postscript icon
KensIcons-go-bottom,kensicons-go-bottom,"kensicons,go,bottom",ui,Kensicons Go Bottom icon
KensIcons-go-down,kensicons-go-down,"kensicons,go,down",ui,Kensicons Go Down icon
KensIcons-go-first,kensicons-go-first,"first,kensicons,go",ui,Kensicons Go First icon
KensIcons-go-home,kensicons-go-home,"home,kensicons,go",ui,Kensicons Go Home icon
KensIcons-go-last,kensicons-go-last,"kensicons,go,last",ui,Kensicons Go Last icon
KensIcons-go-next,kensicons-go-next,"kensicons,next,go",ui,Kensicons Go Next icon
KensIcons-go-previous,kensicons-go-previous,"kensicons,go,previous",ui,Kensicons Go Previous icon
KensIcons-go-top,kensicons-go-top,"kensicons,go,top",ui,Kensicons Go Top icon
KensIcons-go-up,kensicons-go-up,"kensicons,go,up",ui,Kensicons Go Up icon
KensIcons-help-about,kensicons-help-about,"kensicons,help,about",ui,Kensicons Help About icon
KensIcons-help-browser,kensicons-help-browser,"kensicons,browser,help",ui,Kensicons Help Browser icon
KensIcons-help-contents,kensicons-help-contents,"kensicons,help,contents",ui,Kensicons Help Contents icon
KensIcons-image-loading,kensicons-image-loading,"kensicons,image,loading",ui,Kensicons Image Loading icon
KensIcons-image-missing,kensicons-image-missing,"kensicons,image,missing",ui,Kensicons Image Missing icon
KensIcons-image-x-generic,kensicons-image-x-generic,"x,kensicons,generic,image",ui,Kensicons Image X Generic icon
KensIcons-input-gaming,kensicons-input-gaming,"kensicons,gaming,input",ui,Kensicons Input Gaming icon
KensIcons-input-keyboard,kensicons-input-keyboard,"kensicons,keyboard,input",security,Kensicons Input Keyboard icon
KensIcons-input-mouse,kensicons-input-mouse,"kensicons,input,mouse",ui,Kensicons Input Mouse icon
KensIcons-logviewer,kensicons-logviewer,"kensicons,logviewer",ui,Kensicons Logviewer icon
KensIcons-media-encrypted,kensicons-media-encrypted,"kensicons,media,encrypted",ui,Kensicons Media Encrypted icon
KensIcons-media-flash-cf,kensicons-media-flash-cf,"kensicons,flash,media,cf",ui,Kensicons Media Flash Cf icon
KensIcons-media-flash-ms,kensicons-media-flash-ms,"kensicons,flash,media,ms",ui,Kensicons Media Flash Ms icon
KensIcons-media-flash,kensicons-media-flash,"kensicons,flash,media",ui,Kensicons Media Flash icon
KensIcons-media-flash-sd,kensicons-media-flash-sd,"sd,kensicons,flash,media",ui,Kensicons Media Flash Sd icon
KensIcons-media-flash-sm,kensicons-media-flash-sm,"kensicons,flash,media,sm",ui,Kensicons Media Flash Sm icon
KensIcons-media-floppy,kensicons-media-floppy,"kensicons,media,floppy",ui,Kensicons Media Floppy icon
KensIcons-media-optical-audio,kensicons-media-optical-audio,"audio,kensicons,optical,media",ui,Kensicons Media Optical Audio icon
KensIcons-media-optical-bd,kensicons-media-optical-bd,"kensicons,optical,media,bd",ui,Kensicons Media Optical Bd icon
KensIcons-media-optical-cd-audio,kensicons-media-optical-cd-audio,"media,optical,cd,audio,kensicons",ui,Kensicons Media Optical Cd Audio icon
KensIcons-media-optical-cd,kensicons-media-optical-cd,"cd,kensicons,optical,media",ui,Kensicons Media Optical Cd icon
KensIcons-media-optical-dvd,kensicons-media-optical-dvd,"kensicons,optical,media,dvd",ui,Kensicons Media Optical Dvd icon
KensIcons-media-optical-hddvd,kensicons-media-optical-hddvd,"kensicons,optical,media,hddvd",ui,Kensicons Media Optical Hddvd icon
KensIcons-media-optical,kensicons-media-optical,"kensicons,optical,media",ui,Kensicons Media Optical icon
KensIcons-media-tape,kensicons-media-tape,"kensicons,media,tape",ui,Kensicons Media Tape icon
KensIcons-media-zip,kensicons-media-zip,"kensicons,zip,media",ui,Kensicons Media Zip icon
KensIcons-modem,kensicons-modem,"kensicons,modem",ui,Kensicons Modem icon
KensIcons-multimedia-player-apple-ipod-touch,kensicons-multimedia-player-apple-ipod-touch,"apple,ipod,multimedia,kensicons,player",ui,Kensicons Multimedia Player Apple Ipod Touch icon
KensIcons-multimedia-player,kensicons-multimedia-player,"multimedia,kensicons,player",ui,Kensicons Multimedia Player icon
KensIcons-multimedia-volume-control,kensicons-multimedia-volume-control,"multimedia,kensicons,volume,control",ui,Kensicons Multimedia Volume Control icon
KensIcons-network-error,kensicons-network-error,"kensicons,error,network",network,Kensicons Network Error icon
KensIcons-network-idle,kensicons-network-idle,"idle,kensicons,network",network,Kensicons Network Idle icon
KensIcons-network-offline,kensicons-network-offline,"kensicons,offline,network",network,Kensicons Network Offline icon
KensIcons-network-receive,kensicons-network-receive,"kensicons,network,receive",network,Kensicons Network Receive icon
KensIcons-network-server,kensicons-network-server,"kensicons,network,server",network,Kensicons Network Server icon
KensIcons-network-transmit,kensicons-network-transmit,"transmit,kensicons,network",network,Kensicons Network Transmit icon
KensIcons-network-transmit-receive,kensicons-network-transmit-receive,"transmit,kensicons,network,receive",network,Kensicons Network Transmit Receive icon
KensIcons-network-wired,kensicons-network-wired,"kensicons,wired,network",network,Kensicons Network Wired icon
KensIcons-network-workgroup,kensicons-network-workgroup,"kensicons,workgroup,network",network,Kensicons Network Workgroup icon
KensIcons-package-x-generic,kensicons-package-x-generic,"x,kensicons,generic,package",ui,Kensicons Package X Generic icon
